Initial_Altitude_km,Target_Altitude_km,Initial_Mass_kg,Max_Thrust_N,Specific_Impulse_s,Initial_Speed_km_s,Final_Speed_Thrust_km_s,Final_Mass_kg,Propellant_Used_kg,Time_of_Flight_days,Number_of_Orbits,Number_of_Segments,Coast_Apoapsis_km,Coast_Periapsis_km,Coast_Radius_Error_percent,Coast_Eccentricity,Speed_After_Coast_km_s,DeltaV_km_s
500.0,35000.0,1000.0,0.5,10000.0,7.612679770155256,3.10372564849268,955.063984880212,44.93601511978795,102.0109953703704,642,2,41565.10679447718,41190.74008191513,-0.00018503021857556247,0.004523749398894061,3.098489312110036,4.508958470753462
500.0,35000.0,1000.0,1.0,10000.0,7.612679770155256,3.104107959763273,955.0607729388793,44.93922706112073,51.00914351851852,321,1,41762.490579097095,41014.008825150435,0.024770897877531586,0.009042201099751427,3.0910853638722426,4.509288174381325
500.0,35000.0,1000.0,2.0,10000.0,7.612679770155256,3.10445434694817,955.0592433940964,44.94075660590363,25.505439814814814,160,1,42145.44548330962,40650.733611141746,0.048551276585822416,0.018052908824001998,3.076168321832097,4.509444997348379
500.0,35000.0,1000.0,3.0,10000.0,7.612679770155256,3.1062569286787225,955.0449678849614,44.95503211503865,17.009027777777778,107,1,42553.589432428846,40339.103061828144,0.16517532777924193,0.026715097603496555,3.0477662718752767,4.510910650423008
500.0,35000.0,1000.0,4.0,10000.0,7.612679770155256,3.1081368631586392,955.0313041670115,44.96869583298849,12.760648148148148,80,1,42994.0808266905,40001.1517160933,0.28908181012108813,0.03606145821754706,3.012586001228549,4.512313500119381
500.0,35000.0,1000.0,5.0,10000.0,7.612679770155256,3.110534852725849,955.0142755190228,44.98572448097718,10.21238425925926,64,1,43423.65099753997,39698.83893635178,0.4428560272267216,0.044811122286526485,2.973458724756157,4.514061913580646
500.0,35000.0,1000.0,7.0,10000.0,7.612679770155256,3.1147278185013287,954.987865810238,45.01213418976204,7.298842592592592,45,1,44238.71311001917,39114.701539017886,0.7218988943847723,0.06147332526899038,2.9081340459535028,4.516773480367539
500.0,35000.0,1000.0,9.0,10000.0,7.612679770155256,3.1208078052930572,954.9504435600271,45.04955643997289,5.681597222222223,35,1,45155.99779526238,38525.28991796506,1.1180913930439416,0.07923764151455819,2.877373213570189,4.5206160632495225
500.0,35000.0,2000.0,0.5,10000.0,7.612679770155256,3.1037752040068556,1910.1266951606476,89.87330483935239,204.0248842592593,1285,3,41472.75835681102,41285.91411907971,0.0032293439638480903,0.0022576997931635845,3.1009685093954094,4.509023970228999
500.0,35000.0,2000.0,1.0,10000.0,7.612679770155256,3.10372564849268,1910.127969760424,89.8720302395759,102.0109953703704,642,2,41565.10679447718,41190.74008191513,-0.00018503021857556247,0.004523749398894061,3.098489312110036,4.508958470753462
500.0,35000.0,2000.0,2.0,10000.0,7.612679770155256,3.104107959763273,1910.1215458777585,89.87845412224146,51.00914351851852,321,1,41762.490579097095,41014.008825150435,0.024770897877531586,0.009042201099751427,3.0910853638722426,4.509288174381325
500.0,35000.0,2000.0,3.0,10000.0,7.612679770155256,3.104511700576842,1910.1153257974513,89.8846742025487,34.00844907407407,214,1,41956.55989571141,40841.57425017471,0.05091370521305211,0.013466313668036967,3.0827103565582052,4.5096074086858255
500.0,35000.0,2000.0,4.0,10000.0,7.612679770155256,3.10445434694817,1910.1184867881927,89.88151321180726,25.505439814814814,160,1,42145.44548330962,40650.733611141746,0.048551276585822416,0.018052908824001998,3.076168321832097,4.509444997348379
500.0,35000.0,2000.0,5.0,10000.0,7.612679770155256,3.105195733699344,1910.1075762040898,89.89242379591019,20.406828703703702,128,1,42356.48500266557,40478.348812460965,0.0952605431950968,0.022673265626346157,3.0634821482448373,4.510005055920245
500.0,35000.0,2000.0,7.0,10000.0,7.612679770155256,3.1062546991865934,1910.094218415622,89.90578158437802,14.578472222222222,91,1,42739.49685046887,40153.66494729856,0.16574242081230642,0.03119475535845658,3.0388980547552795,4.51069064810982
500.0,35000.0,2000.0,9.0,10000.0,7.612679770155256,3.1089947887994844,1910.052309584549,89.947690415451,11.344097222222224,71,1,43207.40181784024,39832.658430844276,0.34325033675445454,0.04063994386431608,2.995063584383863,4.512842162161691
500.0,35000.0,3000.0,0.5,10000.0,7.612679770155256,3.1037271225483054,2865.1914448007255,134.80855519927445,306.03414351851853,1927,4,41439.36103187867,41316.63624550907,-3.289927330954839e-06,0.0014829715115176193,3.1020343054915487,4.508976000009801
500.0,35000.0,3000.0,1.0,10000.0,7.612679770155256,3.1037473770458806,2865.190985944806,134.80901405519398,153.0175925925926,963,2,41501.3405506537,41255.85943225631,0.0014500252670616835,0.002966281102406655,3.1002334464194643,4.508991666558939
500.0,35000.0,3000.0,2.0,10000.0,7.612679770155256,3.103830246638288,2865.189150521128,134.81084947887211,76.50983796296296,481,1,41626.39542310128,41135.51014982126,0.007136126592091296,0.005931294958493883,3.0963295097491668,4.509054411196354
500.0,35000.0,3000.0,3.0,10000.0,7.612679770155256,3.104107959651121,2865.182318666326,134.81768133367405,51.00914351851852,321,1,41762.490582217986,41014.008828221406,0.024770905359610264,0.009042201099678123,3.0910853634983337,4.509288174498918
500.0,35000.0,3000.0,4.0,10000.0,7.612679770155256,3.1041712721966332,2865.182012912692,134.8179870873082,38.25694444444444,241,1,41880.661920972074,40899.120252720066,0.028737703238595806,0.011857263240829684,3.0869657118921303,4.509298566496052
500.0,35000.0,3000.0,5.0,10000.0,7.612679770155256,3.1041783290690015,2865.1835424023598,134.81645759764024,30.605208333333334,192,1,42008.01420611585,40772.773955994984,0.029953311072114453,0.014921822774891612,3.0826179809982803,4.509246135420149
